2024-09-22 17:57:08 status half-configured libc6:armhf 2.39-0ubuntu8
2024-09-22 17:57:09 status installed libc6:armhf 2.39-0ubuntu8
2024-09-22 17:57:09 configure libmd0:armhf 1.1.0-2build1 <none>
2024-09-22 17:57:09 status unpacked libmd0:armhf 1.1.0-2build1
2024-09-22 17:57:09 status half-configured libmd0:armhf 1.1.0-2build1
2024-09-22 17:57:09 status installed libmd0:armhf 1.1.0-2build1
2024-09-22 17:57:10 configure libattr1:armhf 1:2.5.2-1build1 <none>
2024-09-22 17:57:10 status unpacked libattr1:armhf 1:2.5.2-1build1
2024-09-22 17:57:10 status half-configured libattr1:armhf 1:2.5.2-1build1
2024-09-22 17:57:10 status installed libattr1:armhf 1:2.5.2-1build1
2024-09-22 17:57:10 configure sysvinit-utils:armhf 3.08-6ubuntu3 <none>
2024-09-22 17:57:10 status unpacked sysvinit-utils:armhf 3.08-6ubuntu3
2024-09-22 17:57:10 status half-configured sysvinit-utils:armhf 3.08-6ubuntu3
2024-09-22 17:57:10 status installed sysvinit-utils:armhf 3.08-6ubuntu3
2024-09-22 17:57:10 configure libext2fs2t64:armhf 1.47.0-2.4~exp1ubuntu4 <none>
2024-09-22 17:57:10 status unpacked libext2fs2t64:armhf 1.47.0-2.4~exp1ubuntu4
2024-09-22 17:57:10 status half-configured libext2fs2t64:armhf 1.47.0-2.4~exp1ubuntu4
2024-09-22 17:57:10 status installed libext2fs2t64:armhf 1.47.0-2.4~exp1ubuntu4
2024-09-22 17:57:10 configure debianutils:armhf 5.17build1 <none>
2024-09-22 17:57:10 status unpacked debianutils:armhf 5.17build1
2024-09-22 17:57:11 status half-configured debianutils:armhf 5.17build1
2024-09-22 17:57:13 status installed debianutils:armhf 5.17build1
2024-09-22 17:57:13 configure mawk:armhf 1.3.4.20240123-1build1 <none>
2024-09-22 17:57:13 status unpacked mawk:armhf 1.3.4.20240123-1build1
2024-09-22 17:57:13 status half-configured mawk:armhf 1.3.4.20240123-1build1
2024-09-22 17:57:13 status installed mawk:armhf 1.3.4.20240123-1build1
2024-09-22 17:57:13 configure libdebconfclient0:armhf 0.271ubuntu3 <none>
2024-09-22 17:57:13 status unpacked libdebconfclient0:armhf 0.271ubuntu3
2024-09-22 17:57:13 status half-configured libdebconfclient0:armhf 0.271ubuntu3
2024-09-22 17:57:13 status installed libdebconfclient0:armhf 0.271ubuntu3
2024-09-22 17:57:13 configure libbz2-1.0:armhf 1.0.8-5.1 <none>
2024-09-22 17:57:13 status unpacked libbz2-1.0:armhf 1.0.8-5.1
